商品类别,商品品牌,商品名称,售价,售价来源平台,销售平台,好评率
个护清洁,欧莱雅,欧莱雅洗衣液青春版 2024,48.08,淘宝,抖音商城,91.7%
个护清洁,欧莱雅,欧莱雅消毒液Pro,417.19,苏宁易购,京东自营,98.5%
个护清洁,欧莱雅,欧莱雅消毒液升级版,808.7,京东,抖音商城,99.5%
个护清洁,欧莱雅,欧莱雅消毒液青春版 2024,220.71,拼多多,拼多多旗舰店,95.8%
个护清洁,欧莱雅,欧莱雅牙膏Max 2024,296.88,拼多多,抖音商城,90.2%
个护清洁,欧莱雅,欧莱雅牙膏旗舰版,794.47,淘宝,快手小店,90.9%
个护清洁,欧莱雅,欧莱雅牙膏青春版,169.0,苏宁易购,天猫旗舰店,95.8%
个护清洁,欧莱雅,欧莱雅电动牙刷Max 2025,713.05,天猫,拼多多旗舰店,95.1%
个护清洁,欧莱雅,欧莱雅电动牙刷旗舰版 2025,717.87,京东,京东自营,97.1%
个护清洁,欧莱雅,欧莱雅电动牙刷标准版 2025,408.96,苏宁易购,快手小店,93.6%
个护清洁,欧莱雅,欧莱雅电动牙刷限量款,273.26,苏宁易购,天猫旗舰店,97.2%
个护清洁,海飞丝,海飞丝护手霜Max 2025,15.61,天猫,快手小店,94.9%
个护清洁,海飞丝,海飞丝护手霜标准版 2025,439.11,苏宁易购,拼多多旗舰店,93.6%
个护清洁,海飞丝,海飞丝护手霜青春版 2024,374.65,淘宝,京东自营,95.4%
个护清洁,海飞丝,海飞丝沐浴露Pro 2025,95.91,淘宝,拼多多旗舰店,94.4%
个护清洁,海飞丝,海飞丝沐浴露旗舰版 2025,753.71,苏宁易购,拼多多旗舰店,91.1%
个护清洁,海飞丝,海飞丝沐浴露标准版 2025,105.78,拼多多,淘宝店铺,98.1%
个护清洁,海飞丝,海飞丝洁面乳Max,84.35,拼多多,拼多多旗舰店,96.4%
个护清洁,海飞丝,海飞丝洁面乳Max 2025,738.86,天猫,天猫旗舰店,93.8%
个护清洁,海飞丝,海飞丝洁面乳旗舰版 2025,836.98,拼多多,抖音商城,96.2%
个护清洁,海飞丝,海飞丝洗发水Max,561.58,拼多多,拼多多旗舰店,95.4%
个护清洁,海飞丝,海飞丝洗发水标准版 2024,194.33,拼多多,拼多多旗舰店,96.9%
个护清洁,海飞丝,海飞丝洗发水青春版 2024,493.63,京东,快手小店,92.3%
个护清洁,海飞丝,海飞丝洗衣液Max 2024,348.59,天猫,拼多多旗舰店,95.4%
个护清洁,海飞丝,海飞丝洗衣液标准版,393.23,淘宝,快手小店,95.8%
个护清洁,海飞丝,海飞丝洗衣液标准版 2025,507.43,京东,淘宝店铺,99.7%
个护清洁,海飞丝,海飞丝消毒液升级版,503.33,淘宝,拼多多旗舰店,98.3%
个护清洁,海飞丝,海飞丝消毒液升级版 2024,896.74,天猫,京东自营,96.6%
个护清洁,海飞丝,海飞丝消毒液标准版 2025,22.98,拼多多,快手小店,97.1%
个护清洁,海飞丝,海飞丝牙膏Max 2025,596.55,天猫,抖音商城,90.9%
个护清洁,海飞丝,海飞丝牙膏Pro 2024,556.86,天猫,快手小店,94.4%
个护清洁,海飞丝,海飞丝牙膏旗舰版,682.8,拼多多,抖音商城,96.5%
个护清洁,海飞丝,海飞丝电动牙刷Max,767.73,苏宁易购,京东自营,90.6%
个护清洁,海飞丝,海飞丝电动牙刷Pro 2024,516.55,淘宝,拼多多旗舰店,99.0%
个护清洁,海飞丝,海飞丝电动牙刷旗舰版 2024,890.36,苏宁易购,抖音商城,95.8%
个护清洁,滴露,滴露护手霜旗舰版 2024,806.85,淘宝,拼多多旗舰店,96.2%
个护清洁,滴露,滴露护手霜标准版 2025,398.81,京东,天猫旗舰店,91.9%
个护清洁,滴露,滴露护手霜标准版 2025,895.78,拼多多,京东自营,92.4%
个护清洁,滴露,滴露沐浴露升级版 2025,576.89,京东,京东自营,97.0%
个护清洁,滴露,滴露沐浴露标准版 2025,172.99,京东,快手小店,92.9%
个护清洁,滴露,滴露沐浴露经典款,619.35,京东,天猫旗舰店,99.7%
个护清洁,滴露,滴露沐浴露青春版,343.6,苏宁易购,天猫旗舰店,97.6%
个护清洁,滴露,滴露洁面乳Pro,757.65,淘宝,快手小店,97.5%
个护清洁,滴露,滴露洁面乳升级版,502.48,天猫,淘宝店铺,99.6%
个护清洁,滴露,滴露洁面乳标准版 2025,896.34,淘宝,抖音商城,96.4%
个护清洁,滴露,滴露洗发水升级版,30.09,苏宁易购,快手小店,90.9%
个护清洁,滴露,滴露洗发水标准版 2025,16.54,拼多多,京东自营,90.7%
个护清洁,滴露,滴露洗发水青春版,619.09,淘宝,淘宝店铺,93.5%
个护清洁,滴露,滴露洗衣液Pro 2024,25.7,京东,京东自营,94.9%
个护清洁,滴露,滴露洗衣液旗舰版 2024,246.13,拼多多,抖音商城,96.9%
个护清洁,滴露,滴露洗衣液标准版 2025,638.77,拼多多,拼多多旗舰店,97.6%
个护清洁,滴露,滴露消毒液Max 2025,704.03,苏宁易购,天猫旗舰店,97.8%
个护清洁,滴露,滴露消毒液新品,424.23,拼多多,拼多多旗舰店,90.3%
个护清洁,滴露,滴露消毒液标准版 2024,858.2,拼多多,京东自营,98.1%
个护清洁,滴露,滴露消毒液青春版 2025,841.19,淘宝,拼多多旗舰店,93.6%
个护清洁,滴露,滴露牙膏Max 2024,693.73,淘宝,淘宝店铺,96.9%
个护清洁,滴露,滴露牙膏升级版,255.79,拼多多,淘宝店铺,90.6%
个护清洁,滴露,滴露牙膏标准版 2024,859.49,拼多多,京东自营,92.6%
个护清洁,滴露,滴露电动牙刷Max,552.17,拼多多,京东自营,91.8%
个护清洁,滴露,滴露电动牙刷升级版 2025,693.15,京东,拼多多旗舰店,92.2%
个护清洁,滴露,滴露电动牙刷旗舰版 2024,100.93,苏宁易购,快手小店,90.7%
个护清洁,潘婷,潘婷护手霜升级版 2024,692.47,天猫,抖音商城,96.0%
个护清洁,潘婷,潘婷护手霜旗舰版,714.26,拼多多,抖音商城,95.3%
个护清洁,潘婷,潘婷护手霜标准版 2024,736.62,淘宝,抖音商城,97.9%
个护清洁,潘婷,潘婷护手霜经典款,333.22,京东,淘宝店铺,93.0%
个护清洁,潘婷,潘婷沐浴露Pro 2024,800.38,淘宝,京东自营,91.0%
个护清洁,潘婷,潘婷沐浴露升级版,653.87,苏宁易购,京东自营,94.5%
个护清洁,潘婷,潘婷沐浴露标准版 2024,838.78,苏宁易购,京东自营,96.8%
个护清洁,潘婷,潘婷洁面乳Max,631.66,淘宝,拼多多旗舰店,96.6%
个护清洁,潘婷,潘婷洁面乳Max,67.18,拼多多,拼多多旗舰店,91.1%
个护清洁,潘婷,潘婷洁面乳升级版,136.91,淘宝,淘宝店铺,98.9%
个护清洁,潘婷,潘婷洗发水Pro,693.84,苏宁易购,快手小店,91.0%
个护清洁,潘婷,潘婷洗发水升级版 2024,831.04,苏宁易购,淘宝店铺,97.3%
个护清洁,潘婷,潘婷洗发水标准版 2024,459.34,苏宁易购,天猫旗舰店,97.9%
个护清洁,潘婷,潘婷洗衣液旗舰版 2025,405.79,淘宝,天猫旗舰店,93.5%
个护清洁,潘婷,潘婷洗衣液标准版 2024,812.93,拼多多,京东自营,90.5%
个护清洁,潘婷,潘婷洗衣液标准版 2024,357.81,苏宁易购,快手小店,97.0%
个护清洁,潘婷,潘婷消毒液Max 2024,618.19,拼多多,拼多多旗舰店,97.0%
个护清洁,潘婷,潘婷消毒液升级版,732.44,拼多多,京东自营,99.1%
个护清洁,潘婷,潘婷消毒液旗舰版 2025,729.28,拼多多,抖音商城,90.8%
个护清洁,潘婷,潘婷牙膏Pro 2024,482.73,京东,淘宝店铺,97.7%
个护清洁,潘婷,潘婷牙膏升级版,252.54,苏宁易购,抖音商城,90.2%
个护清洁,潘婷,潘婷牙膏青春版 2024,577.58,天猫,天猫旗舰店,92.1%
个护清洁,潘婷,潘婷电动牙刷Pro 2025,803.1,京东,天猫旗舰店,95.4%
个护清洁,潘婷,潘婷电动牙刷升级版 2025,724.56,天猫,京东自营,95.7%
个护清洁,潘婷,潘婷电动牙刷青春版,192.85,淘宝,淘宝店铺,93.5%
个护清洁,联合利华,联合利华护手霜旗舰版 2024,780.43,拼多多,拼多多旗舰店,98.8%
个护清洁,联合利华,联合利华护手霜标准版,834.12,苏宁易购,拼多多旗舰店,99.8%
个护清洁,联合利华,联合利华护手霜标准版 2025,663.45,淘宝,拼多多旗舰店,93.8%
个护清洁,联合利华,联合利华沐浴露Pro,565.96,京东,抖音商城,98.7%
个护清洁,联合利华,联合利华沐浴露Pro 2025,322.2,天猫,抖音商城,96.2%
个护清洁,联合利华,联合利华沐浴露升级版 2025,280.39,天猫,京东自营,94.9%
个护清洁,联合利华,联合利华洁面乳Max 2024,131.39,京东,拼多多旗舰店,91.9%
个护清洁,联合利华,联合利华洁面乳标准版 2024,854.68,天猫,天猫旗舰店,92.2%
个护清洁,联合利华,联合利华洁面乳青春版 2025,426.2,天猫,拼多多旗舰店,96.4%
个护清洁,联合利华,联合利华洗发水Pro 2025,353.01,苏宁易购,快手小店,99.7%
个护清洁,联合利华,联合利华洗发水升级版 2025,869.44,京东,京东自营,95.6%
个护清洁,联合利华,联合利华洗发水标准版 2024,440.35,京东,天猫旗舰店,95.9%
个护清洁,联合利华,联合利华洗衣液Pro 2024,672.59,淘宝,天猫旗舰店,98.1%
个护清洁,联合利华,联合利华洗衣液升级版 2025,35.24,拼多多,拼多多旗舰店,93.2%
个护清洁,联合利华,联合利华洗衣液标准版 2025,483.34,天猫,淘宝店铺,97.1%
个护清洁,联合利华,联合利华消毒液Pro 2025,513.67,天猫,天猫旗舰店,92.3%
个护清洁,联合利华,联合利华消毒液升级版,126.08,苏宁易购,抖音商城,90.3%
个护清洁,联合利华,联合利华消毒液旗舰版,328.74,拼多多,天猫旗舰店,96.8%
个护清洁,联合利华,联合利华牙膏Pro,144.02,天猫,京东自营,98.9%
个护清洁,联合利华,联合利华牙膏升级版 2025,144.95,苏宁易购,淘宝店铺,99.6%
个护清洁,联合利华,联合利华牙膏旗舰版 2024,472.44,天猫,拼多多旗舰店,96.7%
个护清洁,联合利华,联合利华电动牙刷Max,593.05,天猫,淘宝店铺,95.6%
个护清洁,联合利华,联合利华电动牙刷Max 2025,126.28,苏宁易购,抖音商城,96.5%
个护清洁,联合利华,联合利华电动牙刷旗舰版,776.7,苏宁易购,天猫旗舰店,93.1%
个护清洁,舒肤佳,舒肤佳护手霜Max 2025,675.69,苏宁易购,天猫旗舰店,97.3%
个护清洁,舒肤佳,舒肤佳护手霜Pro 2024,723.06,苏宁易购,拼多多旗舰店,92.5%
个护清洁,舒肤佳,舒肤佳护手霜青春版 2024,612.17,淘宝,抖音商城,99.8%
个护清洁,舒肤佳,舒肤佳沐浴露Max 2025,815.39,淘宝,拼多多旗舰店,95.7%
个护清洁,舒肤佳,舒肤佳沐浴露Pro 2024,266.4,苏宁易购,快手小店,90.3%
个护清洁,舒肤佳,舒肤佳沐浴露Pro 2025,55.97,京东,拼多多旗舰店,93.4%
个护清洁,舒肤佳,舒肤佳洁面乳Max,266.03,拼多多,快手小店,97.9%
个护清洁,舒肤佳,舒肤佳洁面乳Pro 2024,552.33,淘宝,淘宝店铺,96.5%
个护清洁,舒肤佳,舒肤佳洁面乳Pro 2025,616.76,苏宁易购,快手小店,90.4%
个护清洁,舒肤佳,舒肤佳洗发水旗舰版,135.46,淘宝,拼多多旗舰店,97.2%
个护清洁,舒肤佳,舒肤佳洗发水旗舰版 2025,599.73,苏宁易购,抖音商城,96.6%
个护清洁,舒肤佳,舒肤佳洗发水青春版,474.79,天猫,拼多多旗舰店,96.0%
个护清洁,舒肤佳,舒肤佳洗衣液升级版 2025,776.19,京东,天猫旗舰店,93.4%
个护清洁,舒肤佳,舒肤佳洗衣液升级版 2025,400.76,天猫,抖音商城,96.3%
个护清洁,舒肤佳,舒肤佳洗衣液青春版,754.48,拼多多,拼多多旗舰店,97.5%
个护清洁,舒肤佳,舒肤佳消毒液Max 2025,636.99,天猫,抖音商城,94.7%
个护清洁,舒肤佳,舒肤佳消毒液升级版 2024,363.88,苏宁易购,天猫旗舰店,93.0%
个护清洁,舒肤佳,舒肤佳消毒液旗舰版 2024,57.35,京东,京东自营,92.6%
个护清洁,舒肤佳,舒肤佳牙膏Pro 2024,82.43,淘宝,淘宝店铺,95.0%
个护清洁,舒肤佳,舒肤佳牙膏Pro 2025,707.67,拼多多,抖音商城,92.6%
个护清洁,舒肤佳,舒肤佳牙膏升级版 2025,54.94,苏宁易购,京东自营,99.8%
个护清洁,舒肤佳,舒肤佳电动牙刷Max 2024,727.98,天猫,拼多多旗舰店,92.6%
个护清洁,舒肤佳,舒肤佳电动牙刷升级版 2025,259.07,京东,快手小店,98.5%
个护清洁,舒肤佳,舒肤佳电动牙刷标准版 2025,164.41,天猫,快手小店,95.9%
个护清洁,资生堂,资生堂护手霜Pro 2025,772.46,淘宝,拼多多旗舰店,97.0%
个护清洁,资生堂,资生堂护手霜标准版 2024,789.57,淘宝,天猫旗舰店,93.7%
个护清洁,资生堂,资生堂护手霜青春版 2024,164.76,京东,天猫旗舰店,93.7%
个护清洁,资生堂,资生堂沐浴露新品,261.42,天猫,抖音商城,92.2%
个护清洁,资生堂,资生堂沐浴露旗舰版 2025,547.25,淘宝,拼多多旗舰店,97.8%
个护清洁,资生堂,资生堂沐浴露标准版 2025,658.46,京东,拼多多旗舰店,96.2%
个护清洁,资生堂,资生堂沐浴露限量款,593.69,淘宝,天猫旗舰店,97.7%
个护清洁,资生堂,资生堂沐浴露青春版 2024,475.94,苏宁易购,京东自营,96.9%
个护清洁,资生堂,资生堂洁面乳升级版 2024,757.26,拼多多,快手小店,93.4%
个护清洁,资生堂,资生堂洁面乳升级版 2025,619.09,淘宝,京东自营,97.9%
个护清洁,资生堂,资生堂洁面乳青春版,517.17,苏宁易购,京东自营,93.9%
个护清洁,资生堂,资生堂洗发水Max 2025,524.28,京东,淘宝店铺,99.2%
个护清洁,资生堂,资生堂洗发水Pro 2024,807.8,拼多多,抖音商城,98.1%
个护清洁,资生堂,资生堂洗发水标准版 2024,428.03,淘宝,淘宝店铺,91.2%
个护清洁,资生堂,资生堂洗衣液Pro 2024,361.48,京东,天猫旗舰店,95.6%
个护清洁,资生堂,资生堂洗衣液Pro 2025,498.49,京东,快手小店,97.6%
个护清洁,资生堂,资生堂洗衣液升级版 2024,751.1,拼多多,拼多多旗舰店,99.1%
个护清洁,资生堂,资生堂消毒液Pro 2024,706.75,京东,抖音商城,94.1%
个护清洁,资生堂,资生堂消毒液Pro 2025,654.22,苏宁易购,京东自营,93.1%
个护清洁,资生堂,资生堂消毒液标准版 2025,129.82,拼多多,抖音商城,91.5%
个护清洁,资生堂,资生堂牙膏升级版 2025,509.74,拼多多,拼多多旗舰店,95.1%
个护清洁,资生堂,资生堂牙膏升级版 2025,216.12,天猫,京东自营,92.9%
个护清洁,资生堂,资生堂牙膏青春版 2024,240.1,苏宁易购,淘宝店铺,95.7%
个护清洁,资生堂,资生堂电动牙刷Max 2024,49.49,天猫,京东自营,93.5%
个护清洁,资生堂,资生堂电动牙刷旗舰版,623.12,京东,淘宝店铺,92.5%
个护清洁,资生堂,资生堂电动牙刷标准版,422.75,天猫,抖音商城,97.9%
家居家装,全友,全友书桌Pro,2341.67,京东,拼多多旗舰店,96.5%
家居家装,全友,全友书桌旗舰版 2025,4893.32,京东,拼多多旗舰店,91.8%
家居家装,全友,全友书桌标准版 2024,5192.02,拼多多,拼多多旗舰店,91.7%
家居家装,全友,全友厨房置物架Max,745.78,拼多多,拼多多旗舰店,96.9%
家居家装,全友,全友厨房置物架Pro 2024,4517.14,苏宁易购,京东自营,92.5%
家居家装,全友,全友厨房置物架Pro 2025,4002.03,京东,京东自营,91.9%
家居家装,全友,全友台灯Max 2024,4634.55,京东,淘宝店铺,90.4%
家居家装,全友,全友台灯旗舰版 2024,2765.0,天猫,拼多多旗舰店,90.1%
家居家装,全友,全友台灯标准版 2024,6053.81,淘宝,抖音商城,92.4%
家居家装,全友,全友床垫Pro 2025,247.03,天猫,天猫旗舰店,97.8%
家居家装,全友,全友床垫Pro 2025,6303.32,苏宁易购,抖音商城,96.0%
家居家装,全友,全友床垫升级版 2024,4265.38,苏宁易购,淘宝店铺,97.5%
家居家装,全友,全友插排Max 2024,3855.5,苏宁易购,京东自营,96.5%
家居家装,全友,全友插排旗舰版 2024,3477.27,淘宝,拼多多旗舰店,98.3%
家居家装,全友,全友插排青春版,4158.89,苏宁易购,快手小店,91.8%
家居家装,全友,全友沙发Max 2024,2053.78,苏宁易购,拼多多旗舰店,93.9%
家居家装,全友,全友沙发Pro,1726.49,天猫,京东自营,96.7%
家居家装,全友,全友沙发升级版 2024,1099.65,拼多多,快手小店,95.6%
家居家装,全友,全友沙发经典款,1439.16,天猫,拼多多旗舰店,95.8%
家居家装,全友,全友窗帘Max 2025,9456.74,天猫,淘宝店铺,92.4%
家居家装,全友,全友窗帘Max 2025,1225.37,京东,抖音商城,93.7%
家居家装,全友,全友窗帘旗舰版 2025,2929.23,天猫,拼多多旗舰店,99.1%
家居家装,全友,全友衣柜升级版,1304.31,京东,拼多多旗舰店,94.1%
家居家装,全友,全友衣柜升级版,8705.56,拼多多,天猫旗舰店,93.1%
家居家装,全友,全友衣柜经典款,1161.05,天猫,京东自营,93.2%
家居家装,全友,全友衣柜青春版 2025,9391.52,苏宁易购,快手小店,95.8%
家居家装,公牛,公牛书桌升级版,1716.6,京东,京东自营,99.3%
家居家装,公牛,公牛书桌升级版 2024,7970.46,苏宁易购,拼多多旗舰店,93.0%
家居家装,公牛,公牛书桌升级版 2024,9550.23,苏宁易购,天猫旗舰店,94.8%
家居家装,公牛,公牛厨房置物架Pro 2024,5030.74,淘宝,快手小店,96.8%
家居家装,公牛,公牛厨房置物架旗舰版 2025,8492.69,京东,抖音商城,98.2%
家居家装,公牛,公牛厨房置物架青春版 2024,6315.67,淘宝,快手小店,92.1%
家居家装,公牛,公牛台灯Pro,2920.11,淘宝,快手小店,91.1%
家居家装,公牛,公牛台灯旗舰版 2025,9662.02,天猫,天猫旗舰店,94.3%
家居家装,公牛,公牛台灯青春版 2025,660.64,拼多多,快手小店,93.4%
家居家装,公牛,公牛床垫Max,6072.92,苏宁易购,京东自营,94.0%
家居家装,公牛,公牛床垫旗舰版,46.24,淘宝,京东自营,96.3%
家居家装,公牛,公牛床垫旗舰版 2024,8735.37,淘宝,快手小店,99.6%
家居家装,公牛,公牛插排Pro 2024,5774.94,京东,抖音商城,90.0%
家居家装,公牛,公牛插排青春版,7449.26,淘宝,天猫旗舰店,91.1%
家居家装,公牛,公牛插排青春版,8472.63,淘宝,淘宝店铺,99.7%
家居家装,公牛,公牛沙发Pro 2024,9390.82,拼多多,快手小店,99.3%
家居家装,公牛,公牛沙发升级版 2025,8763.32,苏宁易购,京东自营,97.8%
家居家装,公牛,公牛沙发旗舰版,7346.03,天猫,快手小店,92.9%
家居家装,公牛,公牛窗帘Max,5389.32,天猫,淘宝店铺,94.6%
家居家装,公牛,公牛窗帘升级版 2024,6803.93,淘宝,天猫旗舰店,91.5%
家居家装,公牛,公牛窗帘旗舰版,5204.2,天猫,京东自营,96.0%
家居家装,公牛,公牛衣柜Max 2025,306.75,淘宝,拼多多旗舰店,99.2%
家居家装,公牛,公牛衣柜Pro,7195.24,京东,快手小店,96.6%
家居家装,公牛,公牛衣柜升级版 2025,6340.35,淘宝,天猫旗舰店,94.9%
家居家装,宜家,宜家书桌Max 2024,1965.94,天猫,京东自营,92.0%
家居家装,宜家,宜家书桌Pro,6682.92,拼多多,抖音商城,96.9%
家居家装,宜家,宜家书桌旗舰版 2024,8521.45,淘宝,抖音商城,95.6%
家居家装,宜家,宜家厨房置物架升级版 2025,3790.9,苏宁易购,拼多多旗舰店,93.7%
家居家装,宜家,宜家厨房置物架旗舰版,9210.4,苏宁易购,天猫旗舰店,97.6%
家居家装,宜家,宜家厨房置物架青春版 2024,7898.24,京东,快手小店,93.2%
家居家装,宜家,宜家台灯Max,4011.72,京东,淘宝店铺,98.2%
家居家装,宜家,宜家台灯Max,6318.24,淘宝,京东自营,99.0%
家居家装,宜家,宜家台灯标准版,3588.14,天猫,淘宝店铺,95.5%
家居家装,宜家,宜家床垫升级版,1389.52,天猫,淘宝店铺,90.4%
家居家装,宜家,宜家床垫旗舰版 2025,2573.76,苏宁易购,拼多多旗舰店,94.2%
家居家装,宜家,宜家床垫青春版 2024,5138.05,淘宝,淘宝店铺,96.5%
家居家装,宜家,宜家插排升级版 2024,8476.78,天猫,京东自营,92.4%
家居家装,宜家,宜家插排升级版 2024,9106.92,天猫,拼多多旗舰店,90.2%
家居家装,宜家,宜家插排标准版,1990.08,淘宝,快手小店,91.7%
家居家装,宜家,宜家插排联名款,708.43,京东,拼多多旗舰店,97.2%
家居家装,宜家,宜家沙发Pro 2024,3697.4,苏宁易购,快手小店,90.1%
家居家装,宜家,宜家沙发旗舰版,587.26,苏宁易购,京东自营,95.0%
家居家装,宜家,宜家沙发青春版 2025,7757.55,淘宝,抖音商城,91.5%
家居家装,宜家,宜家窗帘Pro 2024,6613.51,苏宁易购,拼多多旗舰店,99.3%
家居家装,宜家,宜家窗帘旗舰版,3393.42,拼多多,天猫旗舰店,92.1%
家居家装,宜家,宜家窗帘旗舰版,1198.04,天猫,天猫旗舰店,98.7%
家居家装,宜家,宜家窗帘联名款,7561.47,苏宁易购,淘宝店铺,97.8%
家居家装,宜家,宜家衣柜Pro 2024,3295.93,京东,拼多多旗舰店,91.0%
家居家装,宜家,宜家衣柜升级版,6392.45,拼多多,抖音商城,96.9%
家居家装,宜家,宜家衣柜升级版,4814.77,淘宝,快手小店,97.6%
家居家装,林氏木业,林氏木业书桌Max 2025,491.8,苏宁易购,快手小店,96.3%
家居家装,林氏木业,林氏木业书桌旗舰版 2025,6604.84,淘宝,拼多多旗舰店,91.0%
家居家装,林氏木业,林氏木业书桌标准版 2025,61.58,天猫,天猫旗舰店,97.6%
家居家装,林氏木业,林氏木业厨房置物架Max 2025,6410.67,苏宁易购,快手小店,92.3%
家居家装,林氏木业,林氏木业厨房置物架升级版 2025,4293.12,京东,京东自营,92.4%
家居家装,林氏木业,林氏木业厨房置物架标准版,226.79,京东,淘宝店铺,97.5%
家居家装,林氏木业,林氏木业台灯Max,2335.36,淘宝,天猫旗舰店,91.0%
家居家装,林氏木业,林氏木业台灯Pro 2025,6272.84,苏宁易购,拼多多旗舰店,96.2%
家居家装,林氏木业,林氏木业台灯标准版 2024,6544.46,天猫,拼多多旗舰店,90.1%
家居家装,林氏木业,林氏木业台灯经典款,869.61,苏宁易购,快手小店,94.6%
家居家装,林氏木业,林氏木业床垫Max,839.17,拼多多,天猫旗舰店,96.5%
家居家装,林氏木业,林氏木业床垫Max 2024,8417.16,京东,抖音商城,91.7%
家居家装,林氏木业,林氏木业床垫Pro,7094.65,拼多多,拼多多旗舰店,91.4%
家居家装,林氏木业,林氏木业插排升级版,6584.09,苏宁易购,淘宝店铺,92.8%
家居家装,林氏木业,林氏木业插排标准版,8855.43,苏宁易购,拼多多旗舰店,94.1%
家居家装,林氏木业,林氏木业插排标准版 2025,5368.24,苏宁易购,天猫旗舰店,99.8%
家居家装,林氏木业,林氏木业沙发Pro,2178.26,苏宁易购,天猫旗舰店,90.3%
家居家装,林氏木业,林氏木业沙发标准版,2951.74,拼多多,天猫旗舰店,95.3%
家居家装,林氏木业,林氏木业沙发标准版 2025,7638.67,天猫,拼多多旗舰店,96.7%
家居家装,林氏木业,林氏木业窗帘Max,3360.69,苏宁易购,拼多多旗舰店,96.0%
家居家装,林氏木业,林氏木业窗帘Pro,6004.07,拼多多,快手小店,99.7%
家居家装,林氏木业,林氏木业窗帘旗舰版,3330.15,淘宝,快手小店,96.3%
